Designator,Mid X,Mid Y,Rotation,Layer
BZ1,190.5508,-63.7408,90.0,top
C1,173.5074,-63.881,180.0,bottom
C10,188.43978,-67.3995,0.0,bottom
C11,173.355,-88.7984,90.0,top
C12,167.4114,-87.4496,90.0,top
C13,165.354,-80.7746,270.0,top
C15,166.8526,-82.6744,90.0,top
C16,165.862,-82.6796,90.0,top
C2,168.8338,-63.881,0.0,bottom
C3,162.5346,-60.1218,90.0,top
C4,163.5252,-60.1218,90.0,top
C5,162.7352,-64.1604,180.0,top
C6,162.4812,-67.6148,180.0,top
C7,170.152,-90.5764,180.0,top
C8,193.06258,-67.4249,180.0,bottom
C9,166.0652,-87.475,90.0,top
D1,192.6844,-72.8472,90.0,top
D10,188.722,-81.2801,270.0,top
D2,191.0588,-72.8472,90.0,top
D3,157.7085,-67.2592,0.0,top
D4,157.6324,-65.2526,0.0,top
D5,157.6324,-69.2404,0.0,top
D6,194.4878,-72.2593,270.0,bottom
D8,190.3636,-69.6788,0.0,bottom
D9,200.914,-81.3054,270.0,top
EN1,162.321,-65.8622,180.0,top
J1,159.3534,-76.0242,270.0,top
J2,206.7814,-70.528,90.0,top
J4,189.553,-86.4616,0.0,top
JP2,162.2552,-69.3928,180.0,top
Q1,191.4398,-80.8759,90.0,top
Q2,198.2978,-80.8505,90.0,top
Q3,202.1218,-65.066,180.0,bottom
R1,162.2571,-62.4586,0.0,top
R10,179.7558,-63.4473,270.0,bottom
R11,191.4652,-81.5075,270.0,bottom
R12,167.005,-75.0824,270.0,bottom
R13,198.2216,-81.3043,270.0,bottom
R14,186.3852,-81.1022,90.0,top
R15,203.0984,-81.0787,90.0,top
R16,188.7474,-82.9818,270.0,bottom
R17,200.8886,-82.9818,270.0,bottom
R18,196.9516,-72.5913,270.0,bottom
R19,200.2282,-73.2028,180.0,bottom
R2,178.9411,-74.168,0.0,bottom
R20,201.7033,-62.1538,0.0,bottom
R3,157.7359,-74.7486,0.0,bottom
R4,157.7359,-77.6986,0.0,bottom
R5,193.6515,-70.3834,0.0,top
R6,190.1444,-70.3834,180.0,top
R7,159.5139,-67.3354,180.0,bottom
R8,159.5393,-65.3796,180.0,bottom
R9,159.5374,-69.2658,180.0,bottom
U1,171.0436,-68.6695,0.0,bottom
U2,173.9138,-64.77,0.0,top
U3,166.9952,-85.2296,90.0,top
U4,171.1024,-88.5933,0.0,top
U5,191.03058,-62.7126,180.0,bottom
U6,167.1315,-80.3362,0.0,top
